Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ільченко,Феофан,Володимирович,Чоловіча,2001-12-01,Письменник,село Ровеньки,"набережна Чорноморка, буд. 1, Долина , 52276",+380 (68) 677-12-75,omelianvakhnii@example.com
Охріменко,Марта,Миколаївна,Жіноча,1966-11-09,Сантехнік,хутір Вознесенськ,"шосе Вєтрова, буд. 01 кв. 9, Бурштин , 70813",+380 38 718-08-31,lcherednyk@example.com
Франчук,Богуслав,Андрійович,Чоловіча,1983-06-28,Дизайнер,село Трускавець,"набережна Лідерсівський, буд. 583, Одеса, 57242",077 007-17-02,ovsiienkoviacheslav@example.net
Авдєєнко,Михайло,Федорович,Чоловіча,1964-01-21,Кінолог,село Фастів,"парк Шефська, буд. 88 кв. 1, Кременчук, 82418",586-57-38,danisaievych@example.com
Сімашкевич,Григорій,Володимирович,Чоловіча,1950-06-28,Гицель,місто Чугуїв,"провулок Вернидуба, буд. 5 кв. 141, Гребінка, 19418",063 687 34 15,hdashenko@example.org
Іваничук,Мартин,Федорович,Чоловіча,1977-03-11,Ветеринар,село Олександрівськ,"набережна Художника Федорова, буд. 84 кв. 2, Кам'янка-Бузька, 95703",066 080-15-24,iaremaspas@example.org
Цибуленко,Олена,Романівна,Жіноча,1973-09-02,Слідчий,хутір Дружба ,"набережна Жолкова Бориса, буд. 762, Костянтинівка, 39637",+380 62 906-37-81,irenazhuk@example.com
Чумак,Симон,Володимирович,Чоловіча,1982-09-13,Співак,місто Добромиль,"набережна Естонська, буд. 71 кв. 065, Південне , 54455",+380 34 123 20 01,hpelekh@example.org
Тимченко,Галина,Василівна,Жіноча,1963-02-08,Сантехнік,село Теплодар,"узвіз Савицький, буд. 640 кв. 193, Ужгород, 42429",+380 52 211 30 95,sviatoslava47@example.net
Архипенко,Назар,Петрович,Чоловіча,1984-10-03,Редактор,місто Борзна,"проспект Самодіяльна, буд. 40, Здолбунів, 66241",006 823 30 63,ederehus@example.com
Базавлученко,Валентина,Дмитрівна,Жіноча,1992-09-09,Бухгалтер,хутір Золотоноша,"набережна Державіна, буд. 65, Мостиська, 23407",+380 (02) 700-63-39,zlatoslava42@example.com
Вакуленко,Адам,Євгенович,Чоловіча,1980-07-22,Медик,місто Івано-Франківськ,"узвіз Крижанівський, буд. 5 кв. 400, Мала Виска, 27712",204-72-01,aleksiukoksana@example.org
Шведченко,Олена,Богданівна,Жіноча,1987-03-09,Машиніст,село Жмеринка,"парк Артилерійська, буд. 7, Чернігів, 39485",834-30-01,sviatoslavbandurka@example.org
Алексеєнко,Надія,Ярославівна,Жіноча,1969-03-17,Доцент,місто Генічеськ,"парк Надіїі, буд. 704 кв. 190, Бердичів, 54674",042 720 53 48,artemliashko@example.org
Забашта,Богодар,Романович,Чоловіча,1959-03-08,Електрослюсар,хутір Молочанськ,"шосе Яхненка Семена, буд. 366 кв. 762, Свалява, 91852",075 326 38 37,prykhodkostanislav@example.org
Алексійчук,Давид,Віталійович,Чоловіча,2000-09-29,Головний меркшейдер,селище Благовіщенське,"набережна Ушинського, буд. 226 кв. 17, Полтава, 29045",103-27-16,anitahupalo@example.net
